key_press,rt,time_elapsed,trial_index,trial_type,pid
32.0,636.0,624132.0,113.0,text,37
32.0,661.0,658344.0,127.0,text,37
32.0,622.0,687545.0,140.0,text,37
32.0,1150.0,722771.0,155.0,text,37
32.0,12584.0,12588.0,0.0,text,38
32.0,28271.0,41859.0,1.0,text,38
81.0,52184.0,95062.0,2.0,text,38
81.0,13705.0,181103.0,4.0,text,38
32.0,3045.0,198415.0,6.0,text,38
32.0,12939.0,293142.0,16.0,text,38
32.0,1812.0,295954.0,17.0,text,38
32.0,2728.0,375333.0,31.0,text,38
32.0,3410.0,444554.0,45.0,text,38
32.0,6820.0,499352.0,59.0,text,38
32.0,2420.0,564674.0,73.0,text,38
